"","City","Country","IOClass1","IOClass2","IODescription","IOSpecific","Source","CropsConcerned","IOLifeTime","Count","AreaOfBase","Material1","Material1Description","AmountMaterial1","UnitsMaterial1","Material2","Material2Description","AmountMaterial2","UnitsMaterial2","Material3","Material3Description","AmountMaterial3","UnitsMaterial3","Material4","Material4Description","AmountMaterial4","UnitsMaterial4","Material5","Material5Description","AmountMaterial5","UnitsMaterial5","Material6","Material6Description","AmountMaterial6","UnitsMaterial6","UnknownMaterial","UsedInLCA","MeasurementMethod","RaisedBedMaterialBased","SoilOM","SoilpH","SoilN","SoilP","SoilK","SoilMg","SoilTexture","SoilPAH","SoilPb","FoodProductionArea","AssociatedProducts","AssociatedInfra","Allocation.to.food.production...JKH.Formula","Conservative.allocation.to.food.production...JH","Material1ReclaimedOrRecycled","Material2ReclaimedOrRecycled","Material3ReclaimedOrRecycled","Material4ReclaimedOrRecycled","Material5ReclaimedOrRecycled","Material6ReclaimedOrRecycled","FarmType","Farm"
"15","New York","US","Infrastructure","Raised Beds","","","New","",7,1,74.32,"Wood (new)","",0.6975,"m3","Top soil","",13.2141,"m3","Compost (industrial)","",13.2141,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","20%",6.74,3200,160,800,NA,"Loam",NA,34,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"16","New York","US","Infrastructure","Raised Beds","","","New","",7,1,74.32,"Wood (new)","",0.7102,"m3","Top soil","",13.2141,"m3","Compost (industrial)","",13.2141,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","20%",6.74,3200,160,800,NA,"Loam",NA,34,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"17","New York","US","Infrastructure","Raised Beds","","","New","",7,1,74.32,"Wood (new)","",0.7257,"m3","Top soil","",13.2141,"m3","Compost (industrial)","",13.2141,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","20%",6.7,800,160,800,NA,"Loam",NA,48,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"18","New York","US","Infrastructure","Raised Beds","","","New","",7,1,59.46,"Wood (new)","",0.6828,"m3","Top soil","",10.572,"m3","Compost (industrial)","",10.572,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","30%",6.97,800,160,800,NA,"Loam",NA,47,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"19","New York","US","Infrastructure","Raised Beds","","","New","",7,1,55.74,"Wood (new)","",0.5902,"m3","Top soil","",9.9106,"m3","Compost (industrial)","",9.9106,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","20%",6.7,800,160,800,NA,"Loam",NA,48,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"20","New York","US","Infrastructure","Raised Beds","","","New","",7,1,74.32,"Wood (new)","",0.7152,"m3","Top soil","",13.2141,"m3","Compost (industrial)","",13.2141,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","21%",6.9,3200,160,800,NA,"Loam",NA,50,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"21","New York","US","Infrastructure","Raised Beds","","","New","",7,1,74.32,"Wood (new)","",0.7199,"m3","Top soil","",13.2141,"m3","Compost (industrial)","",13.2141,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","21%",6.9,3200,160,800,NA,"Loam",NA,50,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"22","New York","US","Infrastructure","Raised Beds","","","New","",7,1,90.58,"Wood (new)","",0.7572,"m3","Top soil","",16.1051,"m3","Compost (industrial)","",16.1051,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","25%",7.01,3200,160,1600,NA,"Loam",NA,43,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"23","New York","US","Infrastructure","Raised Beds","","","New","",7,1,205.32,"Wood (new)","",1.1589,"m3","Top soil","",36.5059,"m3","Compost (industrial)","",36.5059,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","17%",7.18,3200,160,800,NA,"Loam",NA,54,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"24","New York","US","Infrastructure","Raised Beds","","","New","",7,1,149.81,"Wood (new)","",1.0774,"m3","Top soil","",26.6362,"m3","Compost (industrial)","",26.6362,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","25%",7.01,3200,160,1600,NA,"Loam",NA,43,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
